年月,港口別,總計,進港,出港,進口實櫃,進口空櫃,出口實櫃,出口空櫃,轉口實櫃,轉口空櫃,國內貨櫃實櫃,國內貨櫃空櫃
200107,安平港,300,166,134,1,165,134,0,0,0,0,0
200108,國際商港,908101.75,448936.75,459165,159359.75,90961.75,245665.5,27587.5,339379.25,45148,0,0
200108,基隆港,159979.75,80476,79503.75,53279.75,21515.25,70241.25,3620.5,11207,116,0,0
200108,臺中港,90405,42969.5,47435.5,17652,15702.5,32766.5,774,23508,2,0,0
200108,高雄港,657400,325306.25,332093.75,88419,53568,142525.75,23193,304664.25,45030,0,0
200108,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200108,臺北港,0,0,0,0,0,0,0,0,0,0,0
200108,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200108,安平港,317,185,132,9,176,132,0,0,0,0,0
200109,國際商港,850237.25,421380.75,428856.5,147171.25,90244.5,219281.5,31637.5,313660,48242.5,0,0
200109,基隆港,141274.5,75964,65310.5,50081.5,20388.5,57748,2587.5,10404,65,0,0
200109,臺中港,92416,45593.5,46822.5,17146,17068.5,32712.5,674,24791,24,0,0
200109,高雄港,616287.75,299685.25,316602.5,79942.75,52650.5,128700,28376,278465,48153.5,0,0
200109,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200109,臺北港,0,0,0,0,0,0,0,0,0,0,0
200109,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200109,安平港,259,138,121,1,137,121,0,0,0,0,0
200110,國際商港,910431.5,455572,454859.5,162591.75,93309.25,241434.5,20082,346530.75,46483.25,0,0
200110,基隆港,161445,82944.5,78500.5,56982.75,19926.75,68624.25,4017,11704.25,190,0,0
200110,臺中港,90160.5,43072.5,47088,17238,15597.5,33094,648,23470,113,0,0
200110,高雄港,658826,329555,329271,88371,57785,139716.25,15417,311356.5,46180.25,0,0
200110,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200110,臺北港,0,0,0,0,0,0,0,0,0,0,0
200110,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200110,安平港,0,0,0,0,0,0,0,0,0,0,0
200111,國際商港,883711.75,460760.5,422951.25,157701.25,110419.5,218161.25,18961.5,329298.75,49169.5,0,0
200111,基隆港,157577.75,85448,72129.75,58087.5,21737.5,62184.25,4677.5,10676,215,0,0
200111,臺中港,92711,45794,46917,18164,17818,32743,532,22994,460,0,0
200111,高雄港,633107,329353.5,303753.5,81431.75,70717,123234,13601,295628.75,48494.5,0,0
200111,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200111,臺北港,0,0,0,0,0,0,0,0,0,0,0
200111,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200111,安平港,316,165,151,18,147,0,151,0,0,0,0
200112,國際商港,884970,446878.5,438091.5,163688.75,83365.75,226083,21325.75,340546.75,49960,0,0
200112,基隆港,152960.5,79454.75,73505.75,57182.75,16577,63365.75,4811,10831,193,0,0
200112,臺中港,89588.5,43369.5,46219,18831,15222.5,34254,271,20840,170,0,0
200112,高雄港,642421,324054.25,318366.75,87675,51566.25,128463.25,16243.75,308875.75,49597,0,0
200112,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200112,臺北港,0,0,0,0,0,0,0,0,0,0,0
200112,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200112,安平港,0,0,0,0,0,0,0,0,0,0,0
200201,國際商港,851990.25,409861.5,442128.75,159516.75,75101,230915.25,25151,305774.25,55532,0,0
200201,基隆港,151924.75,78724,73200.75,58895.5,14256.5,62760.75,5517,10146,349,0,0
200201,臺中港,90705,42669,48036,18101,13469,34201,955,23977,2,0,0
200201,高雄港,609013.5,288295.5,320718,82511.25,47211.5,133779.5,18679,271651.25,55181,0,0
200201,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200201,臺北港,0,0,0,0,0,0,0,0,0,0,0
200201,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200201,安平港,347,173,174,9,164,174,0,0,0,0,0
200202,國際商港,736999.5,373344.75,363654.75,126157,73510.5,177247,18069.75,298121.25,43894,0,0
200202,基隆港,108587,54887,53700,38978,11597,45066,4122,8746,78,0,0
200202,臺中港,74571,36208,38363,15813,10882,25363,938,21546,29,0,0
200202,高雄港,553571.5,282096.75,271474.75,71341,50903.5,106701,13009.75,267829.25,43787,0,0
200202,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200202,臺北港,0,0,0,0,0,0,0,0,0,0,0
200202,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200202,安平港,270,153,117,25,128,117,0,0,0,0,0
200203,國際商港,973704,471060.25,502643.75,170497,91039.5,271632,25862,359392.5,55281,0,0
200203,基隆港,162129,79052.25,83076.75,57672.25,16253,71844,6643.75,9490,226,0,0
200203,臺中港,105135,48439,56696,20529,16532,41416,498,26046,114,0,0
200203,高雄港,706440,343569,362871,92295.75,58254.5,158372,18720.25,323856.5,54941,0,0
200203,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200203,臺北港,0,0,0,0,0,0,0,0,0,0,0
200203,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200203,安平港,0,0,0,0,0,0,0,0,0,0,0
200204,國際商港,975701.25,485279,490422.25,175091.75,102478.25,259710.25,19973.75,372464.75,45982.5,0,0
200204,基隆港,170404,88083.25,82320.75,60785.5,22150.75,73717,3545,10198.75,7,0,0
200204,臺中港,105413,52336,53077,19956,19987,37145,897,26781,647,0,0
200204,高雄港,699324.25,344568.75,354755.5,94328.25,60071.5,148579.25,15531.75,335485,45328.5,0,0
200204,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200204,臺北港,0,0,0,0,0,0,0,0,0,0,0
200204,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200204,安平港,560,291,269,22,269,269,0,0,0,0,0
200205,國際商港,1003510.75,504414.25,499096.5,182049,111377,260815.25,27067.75,377100.5,45101.25,0,0
200205,基隆港,172430.25,88169.25,84261,60937.5,24650.75,76347.75,4895.25,5582,17,0,0
200205,臺中港,102999,49258,53741,20275,17528,38307,665,25965,259,0,0
200205,高雄港,727818.5,366850,360968.5,100835.5,69062.25,146034.5,21507.5,345553.5,44825.25,0,0
200205,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200205,臺北港,0,0,0,0,0,0,0,0,0,0,0
200205,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200205,安平港,263,137,126,1,136,126,0,0,0,0,0
200206,國際商港,993662,495339.75,498322.25,178179,109642,254133.5,31501.5,376396.5,43809.5,0,0
200206,基隆港,166514.75,85856,80658.75,60883.5,21858.5,73771,3948.75,5954,99,0,0
200206,臺中港,98975,47158,51817,19115,15741,36352,448,27293,26,0,0
200206,高雄港,728036.25,362325.75,365710.5,98180.5,72042.5,143874.5,27104.75,343149.5,43684.5,0,0
200206,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200206,臺北港,0,0,0,0,0,0,0,0,0,0,0
200206,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200206,安平港,136,0,136,0,0,136,0,0,0,0,0
200207,國際商港,998832.25,490804.75,508027.5,180378.75,102551,252940,39290.75,386976.25,36695.5,0,0
200207,基隆港,164054.75,81993.75,82061,59526.75,18849,73306,5214,7083,76,0,0
200207,臺中港,96728.5,47779.5,48949,19569,15894.5,32908,909,27377,71,0,0
200207,高雄港,737639,360751.5,376887.5,101262,67548.5,146596,33167.75,352516.25,36548.5,0,0
200207,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200207,臺北港,0,0,0,0,0,0,0,0,0,0,0
200207,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200207,安平港,410,280,130,21,259,130,0,0,0,0,0
200208,國際商港,999842.5,498223.5,501619,181083.75,108021.25,251062,40735,381377.25,37563.25,0,0
200208,基隆港,166590.5,84971,81619.5,60705.25,20174.75,71149.75,6556.75,7975,29,0,0
200208,臺中港,100958,48218,52740,19716,15687,36038,931,28564,22,0,0
200208,高雄港,732039,364903.5,367135.5,100659.5,72031.5,143750.25,33247.25,344838.25,37512.25,0,0
200208,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200208,臺北港,0,0,0,0,0,0,0,0,0,0,0
200208,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200208,安平港,255,131,124,3,128,124,0,0,0,0,0
200209,國際商港,971733.75,483139.5,488594.25,172761.5,114263.25,237076.25,36107.75,374541.25,36983.75,0,0
200209,基隆港,152506.75,77911.25,74595.5,58406.5,15259.75,65282.75,5760.75,7246,551,0,0
200209,臺中港,90469,43940,46529,20323,13521,32402,853,23275,95,0,0
200209,高雄港,728522,361161.25,367360.75,94018,85369.5,139282.5,29494,344020.25,36337.75,0,0
200209,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200209,臺北港,0,0,0,0,0,0,0,0,0,0,0
200209,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200209,安平港,236,127,109,14,113,109,0,0,0,0,0
200210,國際商港,1007133.75,505524.25,501609.5,173067.5,123511.25,253485.5,34959.75,384144,37965.75,0,0
200210,基隆港,170634,85817.75,84816.25,60771,17077.75,71821.75,5560.5,14872,531,0,0
200210,臺中港,109802,53430,56372,22831,16330,38649,791,31074,127,0,0
200210,高雄港,726437.75,366157.5,360280.25,89455.5,89994.5,142873.75,28608.25,338198,37307.75,0,0
200210,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200210,臺北港,0,0,0,0,0,0,0,0,0,0,0
200210,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200210,安平港,260,119,141,10,109,141,0,0,0,0,0
200211,國際商港,1050439.25,528669.5,521769.75,175492.25,130984.25,250166,37519,409854.5,46423.25,0,0
200211,基隆港,161313.5,82956.75,78356.75,60395.5,18071.25,68732.5,5113.25,8698,303,0,0
200211,臺中港,109618,52898,56720,21936,17114,37845,968,31451,304,0,0
200211,高雄港,779201.75,392660.75,386541,93144.75,95661,143436.5,31437.75,369705.5,45816.25,0,0
200211,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200211,臺北港,0,0,0,0,0,0,0,0,0,0,0
200211,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200211,安平港,306,154,152,16,138,152,0,0,0,0,0
200212,國際商港,1045084.75,533024.75,512060,184471,135754.25,253035.75,33417,396305.25,42101.5,0,0
200212,基隆港,171508.25,89728.75,81779.5,66580.25,20025.5,74182,4526.5,6130,64,0,0
200212,臺中港,108283,54334,53949,22553,17277,36263,623,31532,35,0,0
200212,高雄港,765008.5,388834,376174.5,95319.75,98341.75,142433.75,28267.5,358643.25,42002.5,0,0
200212,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200212,臺北港,0,0,0,0,0,0,0,0,0,0,0
200212,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200212,安平港,285,128,157,18,110,157,0,0,0,0,0
200301,國際商港,909225.5,456361.75,452863.75,172937.75,106893.25,232702.25,26661.25,339875.25,30155.75,0,0
200301,基隆港,160554,85286.75,75267.25,62675.5,18701.25,68008.25,3966,6771,432,0,0
200301,臺中港,98054,47499,50555,20608,16088,34630,838,25777,113,0,0
200301,高雄港,650155.5,323419,326736.5,89631.25,71970,129759,21857.25,307327.25,29610.75,0,0
200301,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200301,臺北港,0,0,0,0,0,0,0,0,0,0,0
200301,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200301,安平港,462,157,305,23,134,305,0,0,0,0,0
200302,國際商港,914252.75,468877.25,445375.5,161440.25,115466,209840.25,26356.25,365269.5,35880.5,0,0
200302,基隆港,128754.25,68218.25,60536,49375,15266.25,53814,2659,7569,71,0,0
200302,臺中港,86017,41837,44180,16640,12725,29854,432,26162,204,0,0
200302,高雄港,699177.5,358647,340530.5,95411.25,87313.75,126043.25,23265.25,331538.5,35605.5,0,0
200302,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200302,臺北港,0,0,0,0,0,0,0,0,0,0,0
200302,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200302,安平港,304,175,129,14,161,129,0,0,0,0,0
200303,國際商港,1062701,525351.25,537349.75,200115.5,109757.75,267410.5,37062.25,410628.25,37726.75,0,0
200303,基隆港,174986.25,89745.25,85241,71351,13434.25,76563,4850,8713,75,0,0
200303,臺中港,109077.5,51329.5,57748,22651,14677.5,40053,554,30909,233,0,0
200303,高雄港,778216.25,384015.5,394200.75,106087.5,81411,150634.5,31658.25,371006.25,37418.75,0,0
200303,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200303,臺北港,0,0,0,0,0,0,0,0,0,0,0
200303,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200303,安平港,421,261,160,26,235,160,0,0,0,0,0
200304,國際商港,1056592,528618.75,527973.25,198590,108412,253613.75,34523,417575.75,43877.5,0,0
200304,基隆港,168483.25,85964,82519.25,68126.25,12280.75,70036.25,6671,11024,345,0,0
200304,臺中港,105492.5,52289.5,53203,21851,15089.5,34713,393,33311,135,0,0
200304,高雄港,782326.25,390218.25,392108,108604.75,80902.75,148721.5,27459,373240.75,43397.5,0,0
200304,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200304,臺北港,0,0,0,0,0,0,0,0,0,0,0
200304,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200304,安平港,290,147,143,8,139,143,0,0,0,0,0
200305,國際商港,1010252.75,506445.75,503807,186167.25,116017.25,256454.25,33822.25,379675.25,38116.5,0,0
200305,基隆港,169200,85293.25,83906.75,65611.5,13768.75,72443.25,5489.5,11724,163,0,0
200305,臺中港,105028,49989,55039,20647,17976,38840,1089,26441,35,0,0
200305,高雄港,736024.75,371163.5,364861.25,99908.75,84272.5,145171,27243.75,341510.25,37918.5,0,0
200305,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200305,臺北港,0,0,0,0,0,0,0,0,0,0,0
200305,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200305,安平港,0,0,0,0,0,0,0,0,0,0,0
200306,國際商港,968688,477867.25,490820.75,171961.25,113482.25,257035.75,24538.25,364282.25,37388.25,0,0
200306,基隆港,167686.5,84478.75,83207.75,65051,14736.75,74885.25,4128.5,8770,115,0,0
200306,臺中港,100132.5,47416.5,52716,17643,17012.5,37513,273,27629,62,0,0
200306,高雄港,700522,345756,354766,89251.25,81533,144506.5,20136.75,327883.25,37211.25,0,0
200306,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200306,臺北港,0,0,0,0,0,0,0,0,0,0,0
200306,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200306,安平港,347,216,131,16,200,131,0,0,0,0,0
200307,國際商港,1015172,509003.25,506168.75,178331.5,126567,256474.5,31664.25,391014.75,31120,0,0
200307,基隆港,168040.25,86554.5,81485.75,64645.25,17229.25,72379,4313.75,9408,65,0,0
200307,臺中港,100775.5,48567,52208.5,18287,17389,36685.5,614,27572,228,0,0
200307,高雄港,745863.25,373691.75,372171.5,95384.25,91773.75,147107,26736.5,354034.75,30827,0,0
200307,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200307,臺北港,0,0,0,0,0,0,0,0,0,0,0
200307,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200307,安平港,493,190,303,15,175,303,0,0,0,0,0
200308,國際商港,1041232.5,522429,518803.5,179224,127957,253405.75,41664.25,401257,37724.5,0,0
200308,基隆港,161341.75,81728.25,79613.5,61023.25,15730.5,70554.5,4034.5,9530,469,0,0
200308,臺中港,101043,48478,52565,19068,16245,36983,645,27866,236,0,0
200308,高雄港,778556.75,392077.75,386479,99114.75,95854.5,145722.25,36984.75,363861,37019.5,0,0
200308,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200308,臺北港,0,0,0,0,0,0,0,0,0,0,0
200308,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200308,安平港,291,145,146,18,127,146,0,0,0,0,0
200309,國際商港,973700,491431.25,482268.75,176197.75,117513,246350.25,31019,367372.25,35247.75,0,0
200309,基隆港,166410.5,87027,79383.5,63631.75,16257.25,67997.75,4348.75,13438,737,0,0
200309,臺中港,105185,52188,52997,20438,16365,35841,460,31702,379,0,0
200309,高雄港,701691.5,351948.25,349743.25,92119,84631.75,142366.5,26210.25,322232.25,34131.75,0,0
200309,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200309,臺北港,0,0,0,0,0,0,0,0,0,0,0
200309,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200309,安平港,413,268,145,9,259,145,0,0,0,0,0
200310,國際商港,1040447.5,516197,524250.5,192360.75,113882.5,265784.75,34661.25,391429,42329.25,0,0
200310,基隆港,179178.5,93226.25,85952.25,71548.5,16714.75,75893.25,5540,9392,90,0,0
200310,臺中港,110371,51145,59226,20531,15979,41195,452,32072,142,0,0
200310,高雄港,750598,371658.75,378939.25,100273.25,81029.75,148563.5,28669.25,349965,42097.25,0,0
200310,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200310,臺北港,0,0,0,0,0,0,0,0,0,0,0
200310,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200310,安平港,300,167,133,8,159,133,0,0,0,0,0
200311,國際商港,1027969,522379.25,505589.75,188330.25,122231.75,255598.25,29574.75,386965.75,45268.25,0,0
200311,基隆港,174205.75,92667,81538.75,70838.75,16674.25,72266.75,4814,9523,89,0,0
200311,臺中港,105422,49349,56073,20584,15406,39831,271,29216,114,0,0
200311,高雄港,747642.25,380019.25,367623,96886.5,89828.5,143145.5,24489.75,348226.75,45065.25,0,0
200311,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200311,臺北港,0,0,0,0,0,0,0,0,0,0,0
200311,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200311,安平港,699,344,355,21,323,355,0,0,0,0,0
200312,國際商港,1074519.75,543920.75,530599,208360.25,119571.25,278476.25,29114.25,396326.25,42671.5,0,0
200312,基隆港,181865.5,99686.5,82179,78266.75,17413.75,70252,7983,7621,329,0,0
200312,臺中港,119429,57798,61631,22851,17842,42718,365,35321,332,0,0
200312,高雄港,772591.25,386129.25,386462,107224.5,84026.5,165179.25,20766.25,353384.25,42010.5,0,0
200312,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200312,臺北港,0,0,0,0,0,0,0,0,0,0,0
200312,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200312,安平港,634,307,327,18,289,327,0,0,0,0,0
200401,國際商港,992600.75,510248.75,482352,183135.75,117882.75,226574.75,30724.5,392471.25,41811.75,0,0
200401,基隆港,151207,81875.25,69331.75,64347.25,13491,59134.25,6433.5,7580,221,0,0
200401,臺中港,95826,46660,49166,21965,11733,32130,300,29287,411,0,0
200401,高雄港,744969.75,381448.5,363521.25,96794.5,92422.75,134977.5,23991,355604.25,41179.75,0,0
200401,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200401,臺北港,0,0,0,0,0,0,0,0,0,0,0
200401,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200401,安平港,598,265,333,29,236,333,0,0,0,0,0
200402,國際商港,999256.75,493019.75,506237,179563.5,105384.75,258367,37912.75,383216.75,34812,0,0
200402,基隆港,157976.5,79110,78866.5,62452.5,12337.5,69600.5,5377,8073,136,0,0
200402,臺中港,103292,47965,55327,19521,15887,39481,470,27562,371,0,0
200402,高雄港,737405.25,365642.75,371762.5,97576,76872.25,149004.5,32065.75,347581.75,34305,0,0
200402,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200402,臺北港,0,0,0,0,0,0,0,0,0,0,0
200402,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200402,安平港,583,302,281,14,288,281,0,0,0,0,0
200403,國際商港,1116437.5,557983.25,558454.25,221656,107804.5,287269.75,35032.5,431319.25,33355.5,0,0
200403,基隆港,180574.75,93486.75,87088,74828.5,13772.25,74904.25,7307.75,9729,33,0,0
200403,臺中港,108894,53294,55600,23442,17182,40403,226,27604,37,0,0
200403,高雄港,826429.75,410921.5,415508.25,123369.5,76585.25,171962.5,27240.75,393986.25,33285.5,0,0
200403,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200403,臺北港,0,0,0,0,0,0,0,0,0,0,0
200403,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200403,安平港,539,281,258,16,265,0,258,0,0,0,0
200404,國際商港,1119367.75,567995.75,551372,227278.25,110516.5,278852.25,37987,427949.25,36784.5,0,0
200404,基隆港,180160,93822.5,86337.5,77457.5,11949,75203.5,6785,8697,68,0,0
200404,臺中港,106731,49401,57330,23343,14413,41679,495,26735,66,0,0
200404,高雄港,831983.75,424518.25,407465.5,126446.75,83931.5,161730.75,30707,392517.25,36650.5,0,0
200404,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200404,臺北港,0,0,0,0,0,0,0,0,0,0,0
200404,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200404,安平港,493,254,239,31,223,239,0,0,0,0,0
200405,國際商港,1134366.25,563456,570910.25,225721.25,114460.5,295713.25,36529,429302.75,32639.5,0,0
200405,基隆港,187085.5,96745.5,90340,78367,14435.5,80518.5,6035.5,7538,191,0,0
200405,臺中港,106384,48853,57531,24174,14588,45074,226,22260,62,0,0
200405,高雄港,840696.75,417762.5,422934.25,123180.25,85342,170015.75,30267.5,399504.75,32386.5,0,0
200405,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200405,臺北港,0,0,0,0,0,0,0,0,0,0,0
200405,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200405,安平港,200,95,105,0,95,105,0,0,0,0,0
200406,國際商港,1112153.25,555061,557092.25,214748.75,112094,277171.75,36961.75,426593.25,44583.75,0,0
200406,基隆港,181932.25,96381.25,85551,77754.75,14006.5,72795,8336,8978,62,0,0
200406,臺中港,99400,47601,51799,23132,12947,37532,304,25283,202,0,0
200406,高雄港,830406,410858.75,419547.25,113836,84946.5,166649.75,28321.75,392332.25,44319.75,0,0
200406,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200406,臺北港,0,0,0,0,0,0,0,0,0,0,0
200406,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200406,安平港,415,220,195,26,194,195,0,0,0,0,0
200407,國際商港,1116739,557757,558982,211930.25,113536.75,276753.75,39841,438760.75,35916.5,0,0
200407,基隆港,178172.5,92040,86132.5,74629.5,13837.5,73479.75,8912.75,6629,684,0,0
200407,臺中港,108292,49224,59068,24666,11359,41729,734,29227,577,0,0
200407,高雄港,829880.5,416310,413570.5,112623.75,88168.25,161334,30194.25,402904.75,34655.5,0,0
200407,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200407,臺北港,0,0,0,0,0,0,0,0,0,0,0
200407,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200407,安平港,394,183,211,11,172,211,0,0,0,0,0
200408,國際商港,1095549.75,544287.25,551262.5,203202,114621.75,271345,41743,435804,28834,0,0
200408,基隆港,162251.25,82365.75,79885.5,69329.75,10015,69353.75,7798.75,5590,164,0,0
200408,臺中港,99419,47292,52127,23378,12182,36871,813,25855,320,0,0
200408,高雄港,833556.5,414481.5,419075,110483.25,92287.75,164945.25,33131.25,404359,28350,0,0
200408,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200408,臺北港,0,0,0,0,0,0,0,0,0,0,0
